type,element_id,metadata,text
Title,71ff43c910647e81d39e44c90f1cda0b,"{'filename': 'combined_sentences.txt', 'filetype': 'text/plain', 'languages': ['eng']}",Online Master of Science in Computer Science (OMSCS)
Title,492adf374353f048a3fcae9a48578d49,"{'filename': 'combined_sentences.txt', 'filetype': 'text/plain', 'languages': ['eng']}",Spring 2023
Title,3bcd9e03e3eaa295031a24cf9838cbde,"{'filename': 'combined_sentences.txt', 'filetype': 'text/plain', 'languages': ['eng', 'deu']}",Spring 2023 OMSCS Orientation Document
NarrativeText,705eac3b0c92b0b88ed6179a97b0a8c7,"{'filename': 'combined_sentences.txt', 'filetype': 'text/plain', 'languages': ['eng']}",Welcome to the OMSCS program! The faculty and staff at the College of Computing are looking forward to working with you for the duration of your time at Georgia Tech.
NarrativeText,1f1bc56e00d904291eb1716c7a6782fc,"{'filename': 'combined_sentences.txt', 'filetype': 'text/plain', 'languages': ['eng']}","We encourage you to review our onboarding information and to watch our OMSCS Orientation video playlist online, in addition to reading this document carefully and in its entirety."
Title,dee18caa47ed61ec83d207ff2dbfdbb1,"{'filename': 'combined_sentences.txt', 'filetype': 'text/plain', 'languages': ['eng']}",TABLE OF CONTENTS
Title,5dc6dc57de1fd09895bd27d36c1b207d,"{'filename': 'combined_sentences.txt', 'filetype': 'text/plain', 'languages': ['eng']}",(Hyperlinked)
Title,7c465318cabdff747f14760e6ecff3c8,"{'filename': 'combined_sentences.txt', 'filetype': 'text/plain', 'languages': ['eng']}",SECTION A. ACADEMIC POLICIES
Title,668d4fd315ebcd86e073fe04b509c9a5,"{'filename': 'combined_sentences.txt', 'filetype': 'text/plain', 'languages': ['eng']}",SECTION B.  FOUNDATIONAL COURSE REQUIREMENT
Title,1b712eb8e00b5842dd9297fbf4c812ff,"{'filename': 'combined_sentences.txt', 'filetype': 'text/plain', 'languages': ['eng']}",SECTION C.  DEGREE REQUIREMENTS
Title,faa7c93d23d287774c8132fb2203e3bb,"{'filename': 'combined_sentences.txt', 'filetype': 'text/plain', 'languages': ['eng', 'vie']}",SECTION D.  REGISTRATION TIME TICKETS
Title,a41b7e51d2cc28f6ec9fd6bfaed7bee2,"{'filename': 'combined_sentences.txt', 'filetype': 'text/plain', 'languages': ['eng']}",SECTION E.  REGISTRATION HOLDS
Title,aa5111eba8e930bb3677c3908a6f6eb1,"{'filename': 'combined_sentences.txt', 'filetype': 'text/plain', 'languages': ['deu']}",SECTION F.  REGISTER FOR CLASSES
NarrativeText,440b25eb3912fd919137908e2e9a30b7,"{'filename': 'combined_sentences.txt', 'filetype': 'text/plain', 'languages': ['eng']}",To prepare for registration...
NarrativeText,1e6cb44c5275b660fcf2cb82e0c80a33,"{'filename': 'combined_sentences.txt', 'filetype': 'text/plain', 'languages': ['eng']}",If a course is CLOSED...
Title,d0854e88838babea3ee55e094a4eda36,"{'filename': 'combined_sentences.txt', 'filetype': 'text/plain', 'languages': ['eng', 'deu']}",SECTION G.  WAITLISTING FOR A CLOSED COURSE
NarrativeText,37d14c80c92581fd3842ca4c1522e7ba,"{'filename': 'combined_sentences.txt', 'filetype': 'text/plain', 'languages': ['eng']}",Things to know about waitlisting...
NarrativeText,a31cb5531b4c42eb3c74163a4b131a50,"{'filename': 'combined_sentences.txt', 'filetype': 'text/plain', 'languages': ['eng']}",Checking your wait list number…
Title,5fd791267176c75634fd7f797cdde961,"{'filename': 'combined_sentences.txt', 'filetype': 'text/plain', 'languages': ['eng']}",“Free for all” registration period…
