type,element_id,metadata,text
Title,7964f80b568e85e67060fac84a51786e,"{'filename': 'spring_2023_orientation_document.pdf', 'filetype': 'application/pdf', 'page_number': 1, 'links': []}",Online Master of Science in Computer Science (OMSCS) Spring 2023
Title,3bcd9e03e3eaa295031a24cf9838cbde,"{'filename': 'spring_2023_orientation_document.pdf', 'filetype': 'application/pdf', 'page_number': 2, 'links': []}",Spring 2023 OMSCS Orientation Document
NarrativeText,705eac3b0c92b0b88ed6179a97b0a8c7,"{'filename': 'spring_2023_orientation_document.pdf', 'filetype': 'application/pdf', 'page_number': 2, 'links': []}",Welcome to the OMSCS program! The faculty and staff at the College of Computing are looking forward to working with you for the duration of your time at Georgia Tech.
NarrativeText,1f1bc56e00d904291eb1716c7a6782fc,"{'filename': 'spring_2023_orientation_document.pdf', 'filetype': 'application/pdf', 'page_number': 2, 'links': [{'text': 'to review ouronboarding informationand to watch our OMSCS Orientation playlistonline', 'url': 'https://www.youtube.com/playlist?list=PLl2dezBNo_Bme8RliCeBnjeK5_KnElfNU', 'start_index': 17}]}","We encourage you to review our onboarding information and to watch our OMSCS Orientation video playlist online, in addition to reading this document carefully and in its entirety."
Title,63018f4bdf8cedccb4bfa36f122f0d1f,"{'filename': 'spring_2023_orientation_document.pdf', 'filetype': 'application/pdf', 'page_number': 2, 'links': []}",TABLE OF CONTENTS (Hyperlinked)
Title,7c465318cabdff747f14760e6ecff3c8,"{'filename': 'spring_2023_orientation_document.pdf', 'filetype': 'application/pdf', 'page_number': 2, 'links': []}",SECTION A. ACADEMIC POLICIES
Title,8a4cbf207bdd3230466a739721f5fbc7,"{'filename': 'spring_2023_orientation_document.pdf', 'filetype': 'application/pdf', 'page_number': 2, 'links': []}",SECTION B. FOUNDATIONAL COURSE REQUIREMENT
Title,ad7b525c034c96dc20565a18fd60edfe,"{'filename': 'spring_2023_orientation_document.pdf', 'filetype': 'application/pdf', 'page_number': 2, 'links': []}",SECTION C. DEGREE REQUIREMENTS
Title,6422a5199064491ebd388d106618ed32,"{'filename': 'spring_2023_orientation_document.pdf', 'filetype': 'application/pdf', 'page_number': 2, 'links': []}",SECTION D. REGISTRATION TIME TICKETS
Title,233beab00e4b4d2ee16158635b018830,"{'filename': 'spring_2023_orientation_document.pdf', 'filetype': 'application/pdf', 'page_number': 2, 'links': []}",SECTION E. REGISTRATION HOLDS
Title,42661a44a8b89cd92830a47a47ff19a7,"{'filename': 'spring_2023_orientation_document.pdf', 'filetype': 'application/pdf', 'page_number': 2, 'links': []}",SECTION F. REGISTER FOR CLASSES
NarrativeText,440b25eb3912fd919137908e2e9a30b7,"{'filename': 'spring_2023_orientation_document.pdf', 'filetype': 'application/pdf', 'page_number': 2, 'links': []}",To prepare for registration...
NarrativeText,1e6cb44c5275b660fcf2cb82e0c80a33,"{'filename': 'spring_2023_orientation_document.pdf', 'filetype': 'application/pdf', 'page_number': 2, 'links': []}",If a course is CLOSED...
Title,518105f2e36b12c11d19ff181b0cc8c5,"{'filename': 'spring_2023_orientation_document.pdf', 'filetype': 'application/pdf', 'page_number': 2, 'links': []}",SECTION G. WAITLISTING FOR A CLOSED COURSE
NarrativeText,37d14c80c92581fd3842ca4c1522e7ba,"{'filename': 'spring_2023_orientation_document.pdf', 'filetype': 'application/pdf', 'page_number': 2, 'links': []}",Things to know about waitlisting...
NarrativeText,a31cb5531b4c42eb3c74163a4b131a50,"{'filename': 'spring_2023_orientation_document.pdf', 'filetype': 'application/pdf', 'page_number': 2, 'links': []}",Checking your wait list number…
Title,5fd791267176c75634fd7f797cdde961,"{'filename': 'spring_2023_orientation_document.pdf', 'filetype': 'application/pdf', 'page_number': 2, 'links': []}",“Free for all” registration period…
UncategorizedText,2cc7a4442c8d6bbf1731ebaf6940bdaf,"{'filename': 'spring_2023_orientation_document.pdf', 'filetype': 'application/pdf', 'page_number': 2, 'links': []}",SECTION H. DROPPING/WITHDRAWING FROM A COURSE(S)
Title,d5bd1d945c0a32aa7cbd0791e5ad0c6a,"{'filename': 'spring_2023_orientation_document.pdf', 'filetype': 'application/pdf', 'page_number': 2, 'links': []}",SECTION I. SYSTEMS YOU WILL BE USING AND WHY
Title,803740c15564bcd4932fd5e71ba47bfc,"{'filename': 'spring_2023_orientation_document.pdf', 'filetype': 'application/pdf', 'page_number': 2, 'links': []}",SECTION J. IMPORTANT DATES FOR THE SPRING 2023 SEMESTER
Title,987949394107690fdb64fdfdd121f38d,"{'filename': 'spring_2023_orientation_document.pdf', 'filetype': 'application/pdf', 'page_number': 2, 'links': []}",SECTION K. FREQUENTLY ASKED QUESTIONS (FAQs)
Title,0d316f7f080c8c257ea3c730de98af7d,"{'filename': 'spring_2023_orientation_document.pdf', 'filetype': 'application/pdf', 'page_number': 2, 'links': []}",New Student Onboarding/GT Email Account
Title,c8d69375b21110d614d64ca1236639d7,"{'filename': 'spring_2023_orientation_document.pdf', 'filetype': 'application/pdf', 'page_number': 2, 'links': []}",Institute Services & Course-Related Resources
Title,ca21733a36e303922f3991e75ad2ebd4,"{'filename': 'spring_2023_orientation_document.pdf', 'filetype': 'application/pdf', 'page_number': 2, 'links': []}",Deferring Admission
Title,c9f52c42f62be95b899e6b929b8d952b,"{'filename': 'spring_2023_orientation_document.pdf', 'filetype': 'application/pdf', 'page_number': 2, 'links': []}",Degree Requirements
Title,71abe9dd094d2e4ee1a24ba1403a7242,"{'filename': 'spring_2023_orientation_document.pdf', 'filetype': 'application/pdf', 'page_number': 2, 'links': []}",Foundational Requirement
Title,fd68b256d295d861965b4c5a5a84a424,"{'filename': 'spring_2023_orientation_document.pdf', 'filetype': 'application/pdf', 'page_number': 2, 'links': []}",Course/Program Planning
Title,85ece42b1738c9dbe84400960e361309,"{'filename': 'spring_2023_orientation_document.pdf', 'filetype': 'application/pdf', 'page_number': 2, 'links': []}",Grades/GPA Requirement
Title,f668987270c1622fd687e8a42baf2b8c,"{'filename': 'spring_2023_orientation_document.pdf', 'filetype': 'application/pdf', 'page_number': 2, 'links': []}",Registration-Related Information
Title,9932a7b00f9d21129bf34f9ae9613b2a,"{'filename': 'spring_2023_orientation_document.pdf', 'filetype': 'application/pdf', 'page_number': 2, 'links': []}",Payments & Financial Information
Title,02c8c3f4e9079a80ac657d1cfd2b2e4a,"{'filename': 'spring_2023_orientation_document.pdf', 'filetype': 'application/pdf', 'page_number': 2, 'links': []}",Taking Time Off
