type,element_id,text,metadata.filename,metadata.filetype,metadata.languages,metadata.page_number
Title,083ea61c9b869089761a9e341155588c,Georgia Tech,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",1
Title,661618e17731986974fb3da731b1b96b,College of Computing,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",1
Title,7964f80b568e85e67060fac84a51786e,Online Master of Science in Computer Science (OMSCS) Spring 2023,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",1
Title,3bcd9e03e3eaa295031a24cf9838cbde,Spring 2023 OMSCS Orientation Document,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",2
NarrativeText,705eac3b0c92b0b88ed6179a97b0a8c7,Welcome to the OMSCS program! The faculty and staff at the College of Computing are looking forward to working with you for the duration of your time at Georgia Tech.,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",2
NarrativeText,1f1bc56e00d904291eb1716c7a6782fc,"We encourage you to review our onboarding information and to watch our OMSCS Orientation video playlist online, in addition to reading this document carefully and in its entirety.",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",2
Title,dee18caa47ed61ec83d207ff2dbfdbb1,TABLE OF CONTENTS,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",2
Title,5dc6dc57de1fd09895bd27d36c1b207d,(Hyperlinked),spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",2
NarrativeText,4fa92e9dacde808884ce949801eb031d,SECTION A. ACADEMIC POLICIES SECTION B. FOUNDATIONAL COURSE REQUIREMENT SECTION C. DEGREE REQUIREMENTS SECTION D. REGISTRATION TIME TICKETS SECTION E. REGISTRATION HOLDS SECTION F. REGISTER FOR CLASSES To prepare for registration... If a course is CLOSED... SECTION G. WAITLISTING FOR A CLOSED COURSE Things to know about waitlisting... Checking your wait list number... “Free for all” registration period... SECTION H. DROPPING/WITHDRAWING FROM A COURSE(S) SECTION I. SYSTEMS YOU WILL BE USING AND WHY SECTION J. IMPORTANT DATES FOR THE SPRING 2023 SEMESTER SECTION K. FREQUENTLY ASKED QUESTIONS (FAQs) New Student Onboarding/GT Email Account Institute Services & Course-Related Resources Deferring Admission Degree Requirements Foundational Requirement Course/Program Planning Grades/GPA Requirement Registration-Related Information Payments & Financial Information Taking Time Off Graduation SECTION L. GEORGIA TECH DIRECTORY INFORMATION SECTION M. GET CONNECTED! SECTION N. OMSCS ADVISING CONTACT INFORMATION,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",2
NarrativeText,fa47d600d89f84525001de8f0e5bbaf5,Click here to return to Table of Contents,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",2
Title,7c465318cabdff747f14760e6ecff3c8,SECTION A. ACADEMIC POLICIES,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",3
NarrativeText,7330e3eb12b24605c90e9083fbaba3d0,"As a Georgia Tech student, you are responsible for knowing these academic policies and information:",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",3
Title,bec8fde326af4bc6daffacfb6e57b64d,Academic Catalog,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",3
Title,b971d63d340e8b0f34fd6cadbc79cb9f,Academic Honor Code Student/Faculty Expectations Expectations of Advisors and Advisees,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",3
Title,8a4cbf207bdd3230466a739721f5fbc7,SECTION B. FOUNDATIONAL COURSE REQUIREMENT,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",3
Title,5e1c5d5790af0977d8ae454c59423c49,흔 온,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",3
NarrativeText,a6fb49a213a50982c28de786662b41f7,You have one calendar year from the time you matriculate 10 complete the foundational 00456 requirement.,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",3
NarrativeText,575aace71df28f6a7f361537c695b0d4,"If this is your first term as a new admit, you have Spring 2023, Summer 2023, and Fall 2023 to complete the foundational course requirement.",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",3
NarrativeText,651bc4cf47527139d34603548be53cb5,The foundational course requirement is a minimum grade 아 “B” 10 two foundational courses.,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",3
NarrativeText,3019d95cf310b641054a92c562daed91,The foundational courses are those with an asterisk (*) listed on the “Current Courses” page under the Program Information tab on the OMSCS website.,spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",3
NarrativeText,b3ef4be43bbbc8da84c800405caa24b5,"If at any point during the first three consecutive terms after you matriculate you make less than a “B” in a foundational course, that term still counts as part of your one-year time frame to complete the requirement.",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",3
NarrativeText,d4d7753ed9e2ead669dac9674d404609,"o For example, if you earn a “C” or below during your first semester (Spring 2023), you still would have two semesters (Summer 2023 and Fall 2023) to fulfill the requirement, as long as you have not been academically dismissed (please see Section K. FREQUENTLY ASKED QUESTIONS (FAQs) for information regarding academic standing).",spring_2023_orientation_document.pdf,application/pdf,"['eng', 'kor']",3
